region,arm,layer_name,n_subjects,mean_rsa_spearman,se_rsa_spearman,n_concepts,formats,best_layer,best_layer_name,best_cross_format_rdm_spearman,best_linear_cka,best_retrieval_top1,best_retrieval_top5,best_concept_minus_format_alignment,mid_layer_start,mid_layer_end,mid_cross_format_rdm_spearman,mid_linear_cka,mid_retrieval_top1,mid_retrieval_top5,mid_concept_minus_format_alignment,base_mean_rsa_spearman,mean_rsa_delta_vs_base
EC,lowrank,layer_30,3,0.0063581924223546,0.0091308271011584,128,"triplet,pairwise,feature_listing",8,layer_8,0.8785470708437854,0.9476561546325684,0.1028645833333333,0.359375,-0.9684438789263368,10,20,0.6636738605675485,0.7466792175264069,0.0968276515151515,0.407907196969697,-0.9310713747346944,0.0085499347477167,-0.0021917423253621
EC,scrambled,layer_2,3,0.0146300407184362,0.0038789817791904,128,"triplet,pairwise,feature_listing",4,layer_4,0.6796956667687993,0.440745602051417,0.1276041666666666,0.3046875,-0.875843895599246,10,20,0.3471955904669872,0.4600809758359735,0.109375,0.2666903409090909,-0.8651859365742315,0.0085499347477167,0.0060801059707195
EC,taskvec_a0p25,layer_30,3,0.0068998884932288,0.0075259405038307,128,"triplet,pairwise,feature_listing",11,layer_11,0.8239249870534996,0.8783366084098816,0.078125,0.2395833333333333,-0.913195832632482,10,20,0.676997994075692,0.7808645593397544,0.2062026515151515,0.5392992424242423,-0.8716299812394109,0.0085499347477167,-0.0016500462544879
EC,taskvec_a0p5,layer_30,3,0.0041146620418162,0.0091983586040509,128,"triplet,pairwise,feature_listing",11,layer_11,0.8064476586447115,0.901366929213206,0.2083333333333333,0.5234375,-0.8402984514832497,10,20,0.6372132719747771,0.7464240373987139,0.1577888257575757,0.4744318181818181,-0.8434505520219152,0.0085499347477167,-0.0044352727059005
EC,taskvec_a1p0,layer_2,3,0.0069643956678573,0.0039480501721899,128,"triplet,pairwise,feature_listing",7,layer_7,0.7567880709637492,0.8899276653925577,0.234375,0.58203125,-0.7158977389335632,10,20,0.4867208733837115,0.5504800514741377,0.0636837121212121,0.1896306818181818,-0.7862517591565847,0.0085499347477167,-0.0015855390798593999
Early Visual,base,layer_30,3,0.0678860052552323,0.0071940735895642,128,"triplet,pairwise,feature_listing",3,layer_3,0.6281042769928376,0.6001794735590616,0.0182291666666666,0.1223958333333333,-0.8558664787560701,10,20,0.3229568784016629,0.3889826156876304,0.0191761363636363,0.0800189393939393,-0.967289013534107,0.0678860052552323,0.0
Early Visual,lowLR,layer_30,3,0.0681729049290067,0.0094615759618069,128,"triplet,pairwise,feature_listing",8,layer_8,0.8734227105916541,0.9529805580774944,0.0455729166666666,0.2317708333333333,-0.9655651575885712,10,20,0.6211392833568842,0.6899302466349169,0.0729166666666666,0.3063446969696969,-0.9303763908418742,0.0678860052552323,0.00028689967377439063
Early Visual,lowrank,layer_7,3,0.0667477635531173,0.0109688766736504,128,"triplet,pairwise,feature_listing",8,layer_8,0.8785470708437854,0.9476561546325684,0.1028645833333333,0.359375,-0.9684438789263368,10,20,0.6636738605675485,0.7466792175264069,0.0968276515151515,0.407907196969697,-0.9310713747346944,0.0678860052552323,-0.0011382417021150032
Early Visual,scrambled,layer_6,3,0.0373885422245466,0.0142694665886127,128,"triplet,pairwise,feature_listing",4,layer_4,0.6796956667687993,0.440745602051417,0.1276041666666666,0.3046875,-0.875843895599246,10,20,0.3471955904669872,0.4600809758359735,0.109375,0.2666903409090909,-0.8651859365742315,0.0678860052552323,-0.030497463030685706
Early Visual,taskvec_a0p25,layer_30,3,0.0637473156778468,0.0095061623796234,128,"triplet,pairwise,feature_listing",11,layer_11,0.8239249870534996,0.8783366084098816,0.078125,0.2395833333333333,-0.913195832632482,10,20,0.676997994075692,0.7808645593397544,0.2062026515151515,0.5392992424242423,-0.8716299812394109,0.0678860052552323,-0.0041386895773855015
